mirfam,expression
conserved,5.027794
conserved,5.378619
conserved,4.886878
conserved,4.96039
conserved,4.989308
conserved,5.879396
conserved,6.886338
conserved,5.480867
conserved,8.197948
Eutherian,1.074495
Eutherian,2.035604
Eutherian,1.094794
Eutherian,1.205518
conserved,1.453081
conserved,1.686278
conserved,1.686673
conserved,1.39471
conserved,0.852727
conserved,1.437647
conserved,1.088692
conserved,1.448756
conserved,1.022183
conserved,3.712298
conserved,1.614832
conserved,3.072424
conserved,0.572718
conserved,0.69596
conserved,0.631156
conserved,0.609613
conserved,0.829534
conserved,1.044247
conserved,0.641331
conserved,1.074495
conserved,1.487099
conserved,1.423014
conserved,1.489476
conserved,1.502435
conserved,1.351775
conserved,2.630666
conserved,1.051173
conserved,1.63629
conserved,0.863241
conserved,0.832318
conserved,0.900735
conserved,0.796819
conserved,4.154423
conserved,5.566762
conserved,4.317399
conserved,4.849694
conserved,8.62187
conserved,8.445466
conserved,8.437859
conserved,8.604086
conserved,9.017103
conserved,9.269001
conserved,9.265653
conserved,8.900872
conserved,0.814859
conserved,1.148809
conserved,1.167994
conserved,1.109218
Eutherian,1.049992
Eutherian,0.666487
Eutherian,1.095569
Eutherian,0.907408
Mir-2277,5.539039
Mir-2277,5.481683
Mir-2277,5.734939
Mir-2277,5.724046
conserved,7.262538
conserved,8.044326
conserved,7.122218
conserved,7.050082
conserved,7.48786
conserved,7.677116
conserved,7.644929
conserved,6.696057
Eutherian,0.644953
Eutherian,0.681325
Eutherian,0.271862
Eutherian,0.433208
conserved,8.597434
conserved,9.545406
conserved,8.662542
conserved,9.060109
conserved,2.105034
conserved,1.347554
conserved,1.525313
conserved,1.086883
conserved,10.045651
conserved,9.799809
conserved,10.100781
conserved,9.521699
conserved,5.375961
conserved,6.297538
conserved,4.435609
conserved,6.308567
conserved,5.067548
conserved,4.245254
conserved,5.084655
conserved,4.689098
Eutherian,4.434328
Eutherian,5.031949
Eutherian,4.789786
Eutherian,2.638394
Eutherian,7.283831
Eutherian,7.404299
Eutherian,7.5691
Eutherian,7.181731
Eutherian,6.704672
Eutherian,8.066743
Eutherian,6.633928
Eutherian,8.191558
conserved,4.234311
conserved,3.055513
conserved,2.703338
conserved,4.020386
conserved,0.699363
conserved,0.425538
conserved,0.519273
conserved,0.879602
conserved,0.736784
conserved,0.934103
conserved,0.777075
conserved,0.851143
Eutherian,2.320787
Eutherian,2.157929
Eutherian,1.967627
Eutherian,2.072717
conserved,2.165083
conserved,2.900982
conserved,0.862646
conserved,2.360647
conserved,1.399022
conserved,1.239427
conserved,0.845775
conserved,3.011476
conserved,4.832876
conserved,4.917567
conserved,5.055382
conserved,4.779316
conserved,6.55527
conserved,6.443588
conserved,6.427537
conserved,6.196393
conserved,4.608575
conserved,2.783576
conserved,3.526916
conserved,3.725169
conserved,7.534291
conserved,8.93847
conserved,7.189077
conserved,7.558959
Eutherian,3.588928
Eutherian,1.585186
Eutherian,2.094301
Eutherian,2.173543
conserved,7.583075
conserved,5.694395
conserved,8.144968
conserved,7.211521
conserved,0.783464
conserved,2.167626
conserved,1.463272
conserved,2.721744
Mir-3200,2.005716
Mir-3200,1.984849
Mir-3200,1.416519
Mir-3200,1.006312
Eutherian,1.715657
Eutherian,1.26688
Eutherian,1.652333
Eutherian,1.888696
Eutherian,1.181232
Eutherian,1.06859
Eutherian,0.971622
Eutherian,1.206916
Eutherian,1.028933
Eutherian,1.201497
Eutherian,0.85243
Eutherian,1.154239
Eutherian,3.246591
Eutherian,4.514607
Eutherian,3.352966
Eutherian,2.46547
Eutherian,3.288175
Eutherian,3.669257
Eutherian,4.508401
Eutherian,3.913844
Eutherian,3.91499
Eutherian,4.666861
Eutherian,3.971338
Eutherian,5.100563
Eutherian,1.795009
Eutherian,1.223367
Eutherian,1.053367
Eutherian,1.308105
conserved,0.698765
conserved,0.928719
conserved,0.839119
conserved,0.877285
conserved,2.10814
conserved,2.147833
conserved,2.068058
conserved,2.495473
Eutherian,4.593582
Eutherian,4.71695
Eutherian,4.037252
Eutherian,3.929323
conserved,4.517338
conserved,4.282457
conserved,3.992848
conserved,4.656237
conserved,0.753469
conserved,0.730407
conserved,0.770117
conserved,0.566801
conserved,1.248351
conserved,1.359366
conserved,1.410734
conserved,1.173964
conserved,1.087306
conserved,1.474547
conserved,1.144895
conserved,1.026348
conserved,1.273131
conserved,1.452088
conserved,0.974178
conserved,1.255252
conserved,0.938591
conserved,1.040283
conserved,0.806199
