UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene stable ID
P10276	F1D8N9	ENSG00000131759
	J3KSJ4	ENSG00000131759
	M0QX31	ENSG00000167232
Q05481		ENSG00000167232
	M0R186	ENSG00000167232
Q15911		ENSG00000140836
Q9H147		ENSG00000101457
	H0Y501	ENSG00000101457
	H7C1M5	ENSG00000101457
	F2Z2A4	ENSG00000101457
	H7C1J2	ENSG00000101457
Q9Y4X4		ENSG00000118922
Q9UGU0	W5ZR30	ENSG00000100207
Q9UGU0		ENSG00000100207
	A9JX13	ENSG00000100207
	A0A6Q8PH68	ENSG00000100207
	I3L1M7	ENSG00000100207
Q99626		ENSG00000165556
Q12946		ENSG00000103241
O43889		ENSG00000107175
Q86V15		ENSG00000130940
	K7EQC6	ENSG00000130940
Q63HK5		ENSG00000121297
	U3KQ78	ENSG00000121297
Q8TBJ5	A0A140VKG3	ENSG00000153266
Q9UL49		ENSG00000101190
	F8W9A4	ENSG00000101190
	I3L1J3	ENSG00000130182
Q96SZ4		ENSG00000130182
Q96SZ4	A0A5P9VN71	ENSG00000130182
		ENSG00000130182
	I3NI43	ENSG00000130182
	I3L0Q3	ENSG00000130182
Q6NT04		ENSG00000140993
	I3L2A8	ENSG00000140993
Q15697		ENSG00000103343
	I3L2H2	ENSG00000103343
Q96LX8		ENSG00000167981
Q9UBX0	A1LQR0	ENSG00000163666
	C9J0A9	ENSG00000163666
	J3KR67	ENSG00000163666
P41225		ENSG00000134595
P07199		ENSG00000125817
P20393	F1D8S3	ENSG00000126368
Q13129		ENSG00000117000
Q6IQ32	A0A024R377	ENSG00000101544
	H0YM09	ENSG00000101544
	H0YLN6	ENSG00000101544
	K7ERT3	ENSG00000101544
	K7EPG1	ENSG00000101544
Q9Y5R6		ENSG00000137090
	H3BN61	ENSG00000137090
Q9NQL9		ENSG00000064218
	Q5W0Z5	ENSG00000064218
P08235	B0ZBF6	ENSG00000151623
P08235		ENSG00000151623
P08235	B0ZBF8	ENSG00000151623
Q92610		ENSG00000166716
	H0YM74	ENSG00000166716
	F2Z2T2	ENSG00000136936
P23025		ENSG00000136936
Q01664		ENSG00000090447
	I3L4L6	ENSG00000090447
	I3L301	ENSG00000090447
	I3L254	ENSG00000090447
Q9BZE0		ENSG00000126603
Q5SQQ9		ENSG00000148704
		ENSG00000083307
Q6ISB3		ENSG00000083307
Q8N5J4		ENSG00000166211
Q15596		ENSG00000140396
	E7EWM1	ENSG00000140396
	H0YBB6	ENSG00000140396
	E5RFN9	ENSG00000140396
	A0A1D5RMT0	ENSG00000140396
Q9P2Y4		ENSG00000165804
	G3V2Q8	ENSG00000165804
	G3V3F2	ENSG00000165804
	G3V2E3	ENSG00000165804
	G3V4M7	ENSG00000165804
	G3V2W3	ENSG00000165804
	G3V4T1	ENSG00000165804
	G3V452	ENSG00000165804
O43524		ENSG00000118689
O43524	A0A856PRE8	ENSG00000118689
P18848		ENSG00000128272
	A0A6Q8PG17	ENSG00000128272
P18848	A0A6Q8PGY1	ENSG00000128272
	B4DJD4	ENSG00000128272
P18848	A0A6Q8PFH6	ENSG00000128272
	A0A7P0Z4J5	ENSG00000128272
P18848	A0A6Q8PHB3	ENSG00000128272
	C9J9N2	ENSG00000116016
Q99814		ENSG00000116016
Q9UIE0		ENSG00000159882
	K7EJU4	ENSG00000159882
	K7ELA7	ENSG00000159882
	K7EMK6	ENSG00000159882
Q96B54		ENSG00000131116
	M0QXZ5	ENSG00000131116
	K7EN43	ENSG00000159885
Q9UK12		ENSG00000159885
Q9UEG4		ENSG00000102870
	A0A2R8Y2E8	ENSG00000119866
Q9H165	D9YZV9	ENSG00000119866
Q9H165		ENSG00000119866
	A0A0J9YXG2	ENSG00000119866
	A0A2R8Y7W4	ENSG00000119866
	A0A0J9YY13	ENSG00000119866
	A0A2R8Y7B0	ENSG00000119866
	A0A2U3TZJ5	ENSG00000119866
	A0A0J9YYJ9	ENSG00000119866
Q9H165	D9YZW0	ENSG00000119866
	A0A2R8YDW6	ENSG00000119866
	A0A2R8YHH4	ENSG00000119866
	A0A2R8YCR5	ENSG00000119866
	A0A2R8YGT9	ENSG00000119866
	A0A2R8YEK1	ENSG00000119866
	A0A2R8YDS7	ENSG00000119866
P17025		ENSG00000147118
O15198		ENSG00000120693
		ENSG00000120693
